,名称,歌单id,歌单介绍,创建者id,创建者昵称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1,tag2,tag3
0,网恋教父Rich Brian,6894926929,"介绍：
网恋教父七哥，甜甜的鸭！！
瘦骨如柴，行为古怪，他把现实中的残酷、痛苦转化成正能量。5 年前，年仅 16 岁的他和一个黑妹网恋，在菲董老司机的挑逗下，七哥在谈及这段网恋经历时十分羞涩且纯情，分手之后...
",280517349,Wa1tVvy9,2021-08-02,23455,324,分享,12,81,欧美,说唱,nan
0,【rap star】 令人震惊的国人说唱,6759153319,"介绍：
收录了近几年中文说唱圈内的部分优秀作品 salute!
",310038769,不好好学习不睡觉,2021-05-16,23149,247,4,6,69,华语,流行,说唱
0,欢迎来到亚文化的世界,5314269249,"介绍：
請 隨 機 播 放.
",1955798361,食人咩咩羊,2020-11-01,20587,556,9,5,139,说唱,朋克,nan
0,「说唱」国产优质Free Beat合集,5198292613,"介绍：
请尊重制作人的劳动成果 使用请按照具体规则 
歌单投稿请私信
",3859122197,网抑且猫咪,2020-08-23,19574,746,1,2,37,电子,说唱,R&B/Soul
0,最怕rapper唱情歌 少女心狙击手,2502161176,"介绍：
捱过无能为力的年纪，我一定要拥有你
欢迎一些小众 好听的情歌rap加入 喜欢就收藏起来吧
",1662374248,Jennierkiki,2018-11-06,4329856,52940,490,94,319,说唱,华语,欧美
0,不知名选手au,6859445434,"介绍：
Au的翻唱建议下载哦
",1368316878,Zzeee-,2021-07-17,2558649,32659,269,169,216,流行,华语,说唱
0,情话说唱>狙击少女心/最怕rapper说情话,2364038061,"介绍：
精选优质旋律rap
最怕rapper唱情歌
苏爆你的少女心

（欢迎投稿，歌单投稿看主页）
",604155322,萧河阳,2018-08-15,3848986,67852,596,171,275,说唱,流行,浪漫
0,Hiphop说唱宝藏库,4921500847,"介绍：
只放好听的，有好歌私信我，持续更新，一起来吧
推广投稿：J665307
",474348309,Hiphop说唱宝藏库,2020-03-18,2564503,36430,258,59,345,华语,说唱,nan
0,【说唱】 温柔 | 旋律 | 治愈,5215142408,"介绍：
来了就留下你的痕迹哦！
",1653795852,SG丶无名小姐,2020-09-01,1525494,22538,48,875,46,流行,说唱,治愈
0,少 女 心 狙 击 手,6702371651,"介绍：
有骑士保护的公主永远都不用担心新裙子 换句话说有我在你永远不用长大
",1354052018,林遇ELul,2021-04-08,2947600,39683,652,223,106,说唱,浪漫,地铁
0,旋律说唱｜完美旋律在大脑游荡,5391302282,"介绍：
近几年较火热的旋律说唱，总有那么几句洗脑的旋律在你耳边回荡。
",59402966,脱离地表,2020-12-22,1718543,11055,150,34,51,华语,R&B/Soul,说唱
0,中国牛逼的Emo Rap,2838053441,"介绍：
这个歌单收录了我认为国内很厉害的Emo rap，每一首情绪都很到位
",339436039,MISTERK_,2019-06-11,791098,10148,197,156,130,伤感,说唱,华语
0,甜甜的rap当然要跟甜甜的你一起听,2865805553,"介绍：
你知道吧，关于你是世界上最特别的小孩这件事。所以希望你时常记住自己的可爱，累了就多休息，再难熬也要撑一撑，无论如何我都站在你这边
",376693801,Chorer,2019-06-30,1691537,24315,338,87,217,华语,说唱,浪漫
